REF_DATE,GEO,DGUID,Rental unit type,Estimates,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
Oct-23,"Saguenay, Census metropolitan area (CMA)",2021S0503408,Apartment - 2 bedrooms,Average asking rent,Dollars,81,units,0,v1675424998,10.3.1,,..,,,0
Jan-24,"Saguenay, Census metropolitan area (CMA)",2021S0503408,Apartment - 2 bedrooms,Average asking rent,Dollars,81,units,0,v1675424998,10.3.1,,..,,,0
Apr-24,"Saguenay, Census metropolitan area (CMA)",2021S0503408,Apartment - 2 bedrooms,Average asking rent,Dollars,81,units,0,v1675424998,10.3.1,,..,,,0
Jul-24,"Saguenay, Census metropolitan area (CMA)",2021S0503408,Apartment - 2 bedrooms,Average asking rent,Dollars,81,units,0,v1675424998,10.3.1,,..,,,0
Oct-24,"Saguenay, Census metropolitan area (CMA)",2021S0503408,Apartment - 2 bedrooms,Average asking rent,Dollars,81,units,0,v1675424998,10.3.1,,..,,,0
Jan-25,"Saguenay, Census metropolitan area (CMA)",2021S0503408,Apartment - 2 bedrooms,Average asking rent,Dollars,81,units,0,v1675424998,10.3.1,,..,,,0
Jan-20,"Saguenay, Census metropolitan area (CMA)",2021S0503408,Room,Average asking rent,Dollars,81,units,0,v1675425000,10.5.1,350,,,,0
Apr-20,"Saguenay, Census metropolitan area (CMA)",2021S0503408,Room,Average asking rent,Dollars,81,units,0,v1675425000,10.5.1,350,,,,0
Jul-20,"Saguenay, Census metropolitan area (CMA)",2021S0503408,Room,Average asking rent,Dollars,81,units,0,v1675425000,10.5.1,350,,,,0
Oct-20,"Saguenay, Census metropolitan area (CMA)",2021S0503408,Room,Average asking rent,Dollars,81,units,0,v1675425000,10.5.1,340,,,,0
Jan-21,"Saguenay, Census metropolitan area (CMA)",2021S0503408,Room,Average asking rent,Dollars,81,units,0,v1675425000,10.5.1,350,,,,0
Apr-21,"Saguenay, Census metropolitan area (CMA)",2021S0503408,Room,Average asking rent,Dollars,81,units,0,v1675425000,10.5.1,360,,,,0
Jul-21,"Saguenay, Census metropolitan area (CMA)",2021S0503408,Room,Average asking rent,Dollars,81,units,0,v1675425000,10.5.1,370,,,,0
Oct-21,"Saguenay, Census metropolitan area (CMA)",2021S0503408,Room,Average asking rent,Dollars,81,units,0,v1675425000,10.5.1,370,,,,0
Jan-22,"Saguenay, Census metropolitan area (CMA)",2021S0503408,Room,Average asking rent,Dollars,81,units,0,v1675425000,10.5.1,360,,,,0
