REF_DATE,GEO,DGUID,Products and product groups,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
Jan-22,Newfoundland and Labrador,2016A000210,Shelter,2002=100,17,units,0,v41691277,3.79,172.2,,,,1
Feb-22,Newfoundland and Labrador,2016A000210,Shelter,2002=100,17,units,0,v41691277,3.79,173.9,,,,1
Mar-22,Newfoundland and Labrador,2016A000210,Shelter,2002=100,17,units,0,v41691277,3.79,177.5,,,,1
Apr-22,Newfoundland and Labrador,2016A000210,Shelter,2002=100,17,units,0,v41691277,3.79,180.3,,,,1
May-22,Newfoundland and Labrador,2016A000210,Shelter,2002=100,17,units,0,v41691277,3.79,182.9,,,,1
Jun-22,Newfoundland and Labrador,2016A000210,Shelter,2002=100,17,units,0,v41691277,3.79,181.2,,,,1
Jul-22,Newfoundland and Labrador,2016A000210,Shelter,2002=100,17,units,0,v41691277,3.79,180.1,,,,1
Aug-22,Newfoundland and Labrador,2016A000210,Shelter,2002=100,17,units,0,v41691277,3.79,179.2,,,,1
Sep-22,Newfoundland and Labrador,2016A000210,Shelter,2002=100,17,units,0,v41691277,3.79,181.1,,,,1
Oct-22,Newfoundland and Labrador,2016A000210,Shelter,2002=100,17,units,0,v41691277,3.79,185.4,,,,1
Nov-22,Newfoundland and Labrador,2016A000210,Shelter,2002=100,17,units,0,v41691277,3.79,185.1,,,,1
Dec-22,Newfoundland and Labrador,2016A000210,Shelter,2002=100,17,units,0,v41691277,3.79,183.6,,,,1
Jan-23,Newfoundland and Labrador,2016A000210,Shelter,2002=100,17,units,0,v41691277,3.79,185,,,,1
Feb-23,Newfoundland and Labrador,2016A000210,Shelter,2002=100,17,units,0,v41691277,3.79,187.6,,,,1
Mar-23,Newfoundland and Labrador,2016A000210,Shelter,2002=100,17,units,0,v41691277,3.79,184.3,,,,1
Apr-23,Newfoundland and Labrador,2016A000210,Shelter,2002=100,17,units,0,v41691277,3.79,185.7,,,,1
May-23,Newfoundland and Labrador,2016A000210,Shelter,2002=100,17,units,0,v41691277,3.79,185.4,,,,1
Jun-23,Newfoundland and Labrador,2016A000210,Shelter,2002=100,17,units,0,v41691277,3.79,185.5,,,,1
