Province,City,Year,Quarter,1_Bedroom_Rent,2_Bedroom_Rent,All-items,Food,Shelter,Household_ops,Clothing and footwear,Transportation,Health and personal care,"Recreation, education and reading","Alcoholic beverages, tobacco products and recreational cannabis"
Quebec,Drummondville,2022,4,,980.0,149.4333333333333,177.73333333333335,154.36666666666667,132.86666666666667,94.40000000000002,166.26666666666665,142.66666666666666,113.46666666666665,177.79999999999998
Quebec,Drummondville,2023,1,,970.0,150.6,182.4333333333333,155.93333333333334,133.53333333333333,91.86666666666667,165.4333333333333,143.53333333333333,113.60000000000001,182.1
Quebec,Drummondville,2023,2,,1040.0,153.36666666666667,186.1,158.33333333333334,134.36666666666667,95.16666666666667,168.33333333333334,146.6,117.46666666666665,185.76666666666665
Quebec,Drummondville,2023,3,,1070.0,155.0666666666667,187.16666666666666,161.63333333333333,133.63333333333333,92.89999999999999,172.73333333333335,147.46666666666667,119.10000000000001,187.5666666666667
Quebec,Drummondville,2023,4,,990.0,155.29999999999998,187.5666666666667,165.0666666666667,132.66666666666666,93.60000000000001,170.20000000000002,147.53333333333333,117.53333333333335,188.1
Quebec,Drummondville,2024,1,,1100.0,155.66666666666666,188.83333333333334,167.13333333333333,133.0,88.39999999999999,170.20000000000002,148.96666666666667,116.36666666666667,189.96666666666667
Quebec,Drummondville,2024,2,,1060.0,157.56666666666666,189.33333333333334,169.4,133.20000000000002,91.36666666666667,173.53333333333333,151.43333333333334,118.43333333333334,192.26666666666665
Quebec,Drummondville,2024,3,,1040.0,157.66666666666666,190.29999999999998,171.6,132.9,87.36666666666667,171.53333333333333,152.0,118.96666666666665,194.03333333333333
Quebec,Drummondville,2024,4,,1150.0,157.73333333333335,189.70000000000002,173.76666666666665,132.16666666666666,90.06666666666666,169.43333333333334,152.6,117.46666666666665,193.0
Quebec,Drummondville,2025,1,,1200.0,158.63333333333333,191.69999999999996,175.5,132.46666666666667,88.0,170.79999999999998,152.23333333333332,118.36666666666667,194.13333333333333
Alberta,Edmonton,2020,1,1050.0,1290.0,144.76666666666665,153.20000000000002,174.46666666666667,122.56666666666666,102.0,146.13333333333333,139.76666666666665,114.63333333333333,171.46666666666667
Alberta,Edmonton,2020,2,1050.0,1310.0,144.03333333333333,153.70000000000002,173.73333333333335,122.63333333333333,96.66666666666667,144.70000000000002,139.5,114.66666666666667,173.4
Alberta,Edmonton,2020,3,1070.0,1330.0,144.70000000000002,152.79999999999998,174.66666666666666,122.66666666666667,96.93333333333334,147.23333333333332,140.23333333333335,115.46666666666665,172.26666666666665
Alberta,Edmonton,2020,4,1040.0,1300.0,145.13333333333333,152.96666666666667,175.5333333333333,122.16666666666667,97.53333333333335,148.53333333333333,140.23333333333335,115.56666666666668,171.13333333333333
Alberta,Edmonton,2021,1,1050.0,1320.0,146.36666666666667,155.0,176.86666666666667,121.33333333333333,93.76666666666667,153.5,140.66666666666666,115.8,170.66666666666666
Alberta,Edmonton,2021,2,1060.0,1330.0,148.4,156.76666666666668,178.0,121.7,96.03333333333335,158.79999999999998,141.03333333333333,116.73333333333335,173.26666666666665
Alberta,Edmonton,2021,3,1060.0,1320.0,150.70000000000002,157.9,182.4,122.39999999999999,95.53333333333335,163.23333333333335,141.33333333333334,119.26666666666667,173.79999999999998
Alberta,Edmonton,2021,4,1040.0,1310.0,151.6,159.70000000000002,183.4,122.06666666666666,96.60000000000001,166.03333333333333,141.4,118.83333333333333,172.83333333333334
Alberta,Edmonton,2022,1,1050.0,1310.0,154.6,164.66666666666666,187.26666666666665,123.03333333333335,95.56666666666666,171.0666666666667,141.33333333333334,121.5,174.9333333333333
Alberta,Edmonton,2022,2,1060.0,1330.0,159.20000000000002,168.53333333333333,192.0333333333333,126.96666666666665,99.03333333333335,180.23333333333335,143.36666666666667,123.76666666666667,178.20000000000002
Alberta,Edmonton,2022,3,1080.0,1380.0,160.5,172.4,192.9,128.26666666666668,98.10000000000001,180.46666666666667,145.46666666666667,125.2,179.0
Alberta,Edmonton,2022,4,1100.0,1400.0,161.4,176.13333333333333,196.1,128.76666666666668,99.5,177.36666666666667,147.9,122.73333333333333,181.29999999999998
Alberta,Edmonton,2023,1,1110.0,1400.0,160.76666666666665,180.33333333333334,194.16666666666666,128.29999999999998,98.0,171.20000000000002,150.76666666666665,122.83333333333333,182.96666666666667
Alberta,Edmonton,2023,2,1140.0,1450.0,164.06666666666666,182.20000000000002,201.79999999999998,127.73333333333333,99.16666666666667,177.4,153.13333333333333,124.53333333333335,185.5
Alberta,Edmonton,2023,3,1170.0,1510.0,166.26666666666668,183.46666666666667,210.80000000000004,125.86666666666667,97.66666666666667,179.73333333333335,154.53333333333333,124.89999999999999,187.6
Alberta,Edmonton,2023,4,1240.0,1550.0,165.46666666666667,184.6,212.13333333333333,123.89999999999999,97.86666666666667,175.4333333333333,155.03333333333333,123.03333333333335,188.29999999999998
Alberta,Edmonton,2024,1,1270.0,1610.0,166.66666666666666,187.4333333333333,215.46666666666667,125.13333333333333,94.10000000000001,176.1,156.20000000000002,121.76666666666665,191.4
Alberta,Edmonton,2024,2,1290.0,1620.0,169.03333333333333,187.9666666666667,217.76666666666665,124.43333333333334,96.13333333333333,183.16666666666666,158.4,124.60000000000001,194.29999999999998
Alberta,Edmonton,2024,3,1320.0,1620.0,169.9333333333333,189.70000000000002,219.83333333333334,125.0,95.23333333333333,183.5666666666667,158.53333333333333,125.13333333333333,194.5
Alberta,Edmonton,2024,4,1280.0,1590.0,170.0,189.86666666666667,223.33333333333334,124.3,95.26666666666667,180.5666666666667,157.79999999999998,124.66666666666667,195.79999999999998
Alberta,Edmonton,2025,1,1280.0,1590.0,171.16666666666666,190.9333333333333,224.4333333333333,125.83333333333333,95.10000000000001,182.73333333333335,158.66666666666666,125.2,196.03333333333333
New Brunswick,Fredericton,2020,1,930.0,1010.0,137.16666666666666,158.66666666666666,142.5,124.46666666666665,101.26666666666665,135.83333333333334,119.96666666666665,122.56666666666666,206.63333333333333
New Brunswick,Fredericton,2020,2,860.0,1060.0,135.6,160.66666666666666,141.4333333333333,125.60000000000001,94.23333333333333,130.43333333333334,120.39999999999999,121.56666666666666,207.6
New Brunswick,Fredericton,2020,3,910.0,1070.0,136.66666666666666,159.53333333333333,142.1,126.03333333333335,97.8,133.23333333333332,120.39999999999999,122.3,208.0
New Brunswick,Fredericton,2020,4,940.0,1090.0,136.9,159.70000000000002,142.4333333333333,125.36666666666667,98.89999999999999,134.16666666666666,121.03333333333335,121.7,207.0666666666667
New Brunswick,Fredericton,2021,1,960.0,1140.0,138.7,161.79999999999998,143.66666666666666,124.2,97.23333333333333,140.73333333333332,120.96666666666665,121.76666666666667,206.5
New Brunswick,Fredericton,2021,2,970.0,1170.0,141.0666666666667,163.43333333333334,146.86666666666667,124.56666666666666,98.33333333333333,145.43333333333334,122.0,122.5,209.5
New Brunswick,Fredericton,2021,3,970.0,1190.0,142.93333333333334,166.4,148.1,125.03333333333335,98.83333333333333,149.79999999999998,122.56666666666666,123.7,210.70000000000002
New Brunswick,Fredericton,2021,4,1020.0,1290.0,144.46666666666667,168.70000000000002,149.6,125.56666666666666,98.46666666666665,152.43333333333334,123.60000000000001,125.39999999999999,211.0666666666667
New Brunswick,Fredericton,2022,1,1070.0,1280.0,147.33333333333334,173.66666666666666,152.23333333333332,126.56666666666666,98.83333333333333,158.23333333333332,123.3,128.1,211.6
New Brunswick,Fredericton,2022,2,1110.0,1360.0,153.03333333333333,178.96666666666667,157.46666666666667,129.6,101.8,171.9333333333333,126.96666666666665,129.5,214.4333333333333
New Brunswick,Fredericton,2022,3,1120.0,1350.0,153.53333333333333,183.0666666666667,157.86666666666667,128.76666666666668,102.43333333333334,169.73333333333335,129.16666666666666,130.73333333333332,215.4
New Brunswick,Fredericton,2022,4,1130.0,1430.0,154.5666666666667,185.53333333333333,162.66666666666666,129.6,103.7,166.5666666666667,130.96666666666667,128.43333333333334,216.76666666666665
